id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,release_year,duration_seconds,instrumentalness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,2023,211,0.04
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,2022,168,0.82
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,2021,234,0.06
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,2020,192,0.91
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,2024,198,0.02
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,2019,306,0.96
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,2018,257,0.74
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,2023,248,0.68
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,2022,180,0.88
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,2024,205,0.03
11,Golden Hour Drive,Marble Coast,hip hop,confident,0.78,96,0.72,0.84,0.12,2023,194,0.01
12,Velvet Letters,June Harbor,r&b,romantic,0.55,84,0.69,0.71,0.31,2021,226,0.02
13,Winter Sonata,Aurora Chamber,classical,melancholic,0.24,66,0.32,0.18,0.94,2016,364,0.98
14,Open Road Promise,Dustline County,country,hopeful,0.63,108,0.76,0.68,0.74,2020,218,0.04
15,Cedar and String,Northwood Kin,folk,peaceful,0.34,82,0.67,0.49,0.91,2017,241,0.22
16,Island Morning,Solar Roots,reggae,uplifting,0.59,88,0.86,0.82,0.42,2019,236,0.05
17,Iron Horizon,Crimson Anvil,metal,aggressive,0.97,168,0.29,0.43,0.03,2022,289,0.07
18,Basement Anthem,Static Youth,punk,rebellious,0.94,176,0.58,0.61,0.06,2018,154,0.02
19,Neon Festival,Prism Circuit,edm,euphoric,0.96,128,0.89,0.91,0.02,2024,202,0.61
20,Afterhours Terrace,Luna District,house,groovy,0.83,124,0.74,0.92,0.05,2023,322,0.73
21,Machine Pulse,Grid Operator,techno,dark,0.88,132,0.36,0.78,0.01,2021,347,0.89
22,Cloud Ascension,Echo Meridian,trance,euphoric,0.91,138,0.81,0.79,0.04,2020,401,0.86
23,Sunday Blue,Amber Grace,soul,soulful,0.48,76,0.62,0.57,0.53,2015,249,0.03
24,Pocket Rhythm,The Brass Keys,funk,playful,0.81,112,0.88,0.94,0.16,2019,213,0.12
25,Long Way Home,Delta Lantern,blues,melancholic,0.41,74,0.38,0.52,0.81,2014,276,0.08
26,Sol de Barrio,Cielo Rojo,latin,celebratory,0.84,104,0.91,0.90,0.29,2022,207,0.04
27,Midnight Salsa,Orquesta Brisa,salsa,passionate,0.87,190,0.93,0.95,0.21,2018,284,0.18
28,Fuego Lento,Rio Magnifico,reggaeton,confident,0.86,94,0.73,0.93,0.08,2024,189,0.01
29,Lagos Sunrise,Kora Avenue,afrobeat,uplifting,0.80,116,0.90,0.89,0.26,2023,238,0.09
30,Carry Me Through,New Mercy Choir,gospel,spiritual,0.72,102,0.92,0.66,0.61,2017,301,0.02
31,Mountain Rail,Blue Pine Union,bluegrass,energetic,0.73,144,0.82,0.76,0.88,2016,196,0.16
32,Kingdom in Motion,Silvergate Ensemble,orchestral,triumphant,0.89,126,0.79,0.28,0.87,2021,418,0.97
